Hour,City,Temperature (°C)
2024-12-11T00:00,Sydney,31.1
2024-12-11T01:00,Sydney,33.7
2024-12-11T02:00,Sydney,36.0
2024-12-11T03:00,Sydney,37.6
2024-12-11T04:00,Sydney,38.1
2024-12-11T05:00,Sydney,37.8
2024-12-11T06:00,Sydney,37.3
2024-12-11T07:00,Sydney,36.6
2024-12-11T08:00,Sydney,35.6
2024-12-11T09:00,Sydney,34.6
2024-12-11T10:00,Sydney,33.5
2024-12-11T11:00,Sydney,32.4
2024-12-11T12:00,Sydney,31.3
2024-12-11T13:00,Sydney,30.4
2024-12-11T14:00,Sydney,29.4
2024-12-11T15:00,Sydney,28.0
2024-12-11T16:00,Rio de Janeiro,26.3
2024-12-11T17:00,Rio de Janeiro,26.3
2024-12-11T18:00,Rio de Janeiro,26.0
2024-12-11T19:00,Rio de Janeiro,25.3
2024-12-11T20:00,Rio de Janeiro,24.3
2024-12-11T21:00,Rio de Janeiro,23.5
2024-12-11T22:00,Rio de Janeiro,22.8
2024-12-11T23:00,Sydney,23.3
